rp,population,rp_start,rp_end,cont_enrollment,age_grp,gender,state,lob,plantyp,datasource,mm
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,F,WEST SOUTH CENTRAL,COM,IND,OPTUM-SES,16
PRIOR,IP,4/1/2017,3/31/2018,1,45-54,1,KY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,893
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,KY,COMMERCIAL,Cap POS,IBM-CCAE,24
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,M,WEST SOUTH CENTRAL,COM,IND,OPTUM-SES,16
PRIOR,IP,4/1/2017,3/31/2018,0,0-17,2,CA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,62
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,AZ,COMMERCIAL,Unknown,IBM-CCAE,148
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,1,ID,COMMERCIAL,PPO,IBM-CCAE,138
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,LA,COMMERCIAL,Unknown,IBM-CCAE,882
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,2,MN,COMMERCIAL,Others,IBM-CCAE,120
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,F,MOUNTAIN,COM,PPO,OPTUM-SES,437
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,IL,COMMERCIAL,Cap POS,IBM-CCAE,9
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,1,CO,COMMERCIAL,Others,IBM-CCAE,813
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,1,UT,COMMERCIAL,HMO,IBM-CCAE,60
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,MT,COMMERCIAL,PPO,IBM-MDCR,307
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,2,UN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,6194
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,1,SC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,7670
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,2,TN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,86
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,2,LA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,27
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,F,EAST SOUTH CENTRAL,COM,PPO,OPTUM-SES,43
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,ND,COMMERCIAL,PPO,IBM-CCAE,7763
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,1,MT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,285
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,LA,COMMERCIAL,Unknown,IBM-CCAE,2600
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,AZ,COMMERCIAL,Unknown,IBM-MDCR,14
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,2,NV,COMMERCIAL,Others,IBM-CCAE,741
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,MT,COMMERCIAL,PPO,IBM-CCAE,933
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,F,SOUTH ATLANTIC,COM,EPO,OPTUM-SES,3966
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,1,NJ,COMMERCIAL,PPO,IBM-MDCR,36614
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,MD,COMMERCIAL,HMO,IBM-CCAE,6167
CURRENT,IP,4/1/2018,3/31/2019,1,0-17,1,CO,COMMERCIAL,Non-Cap POS,IBM-CCAE,10
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,2,MT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,4532
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,MI,COMMERCIAL,Non-Cap POS,IBM-CCAE,34
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,M,NEW ENGLAND,COM,POS,OPTUM-SES,66
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,1,MD,COMMERCIAL,Others,IBM-MDCR,118
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,1,CO,COMMERCIAL,Unknown,IBM-CCAE,5
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,2,NV,COMMERCIAL,Others,IBM-CCAE,6
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,2,VA,COMMERCIAL,Non-Cap POS,IBM-MDCR,12
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,1,VA,COMMERCIAL,Non-Cap POS,IBM-CCAE,39
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,2,CA,COMMERCIAL,Cap POS,IBM-CCAE,6
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,1,NH,COMMERCIAL,CDHP/HDHP,IBM-MDCR,9
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,2,NJ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,119
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,AR,COMMERCIAL,Others,IBM-CCAE,2335
PRIOR,IP,4/1/2017,3/31/2018,0,0-17,1,UN,COMMERCIAL,PPO,IBM-CCAE,468
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,1,NC,COMMERCIAL,Others,IBM-CCAE,944
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,F,MOUNTAIN,COM,POS,OPTUM-SES,50377
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,IA,COMMERCIAL,CDHP/HDHP,IBM-MDCR,60
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,NJ,COMMERCIAL,Others,IBM-CCAE,70
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,ND,COMMERCIAL,Unknown,IBM-CCAE,150
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,1,NH,COMMERCIAL,Others,IBM-CCAE,205
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,UT,COMMERCIAL,Others,IBM-CCAE,122
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,2,GA,COMMERCIAL,Non-Cap POS,IBM-CCAE,2450
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,1,KS,COMMERCIAL,CDHP/HDHP,IBM-MDCR,1
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,1,OK,COMMERCIAL,PPO,IBM-CCAE,249
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,TN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,311
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,MN,COMMERCIAL,HMO,IBM-MDCR,1
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,ND,COMMERCIAL,CDHP/HDHP,IBM-CCAE,2423
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,NC,COMMERCIAL,Unknown,IBM-CCAE,15905
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,1,MS,COMMERCIAL,CDHP/HDHP,IBM-CCAE,17
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,PR,COMMERCIAL,PPO,IBM-CCAE,80
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,1,VA,COMMERCIAL,Others,IBM-CCAE,23306
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,1,MO,COMMERCIAL,Others,IBM-MDCR,79
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,2,SC,COMMERCIAL,Unknown,IBM-CCAE,33
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,2,WV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,2403
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,2,RI,COMMERCIAL,Others,IBM-CCAE,11
PRIOR,IP,4/1/2017,3/31/2018,0,0-17,1,CT,COMMERCIAL,HMO,IBM-CCAE,9
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,2,SC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,92
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,LA,COMMERCIAL,Unknown,IBM-MDCR,48
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,1,OR,COMMERCIAL,HMO,IBM-CCAE,11036
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,M,WEST NORTH CENTRAL,MCR,PPO,OPTUM-SES,75
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,1,KS,COMMERCIAL,Others,IBM-CCAE,1202
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,UN,COMMERCIAL,Others,IBM-CCAE,12014
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,F,EAST SOUTH CENTRAL,MCR,OTH,OPTUM-SES,394
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,M,WEST NORTH CENTRAL,COM,EPO,OPTUM-SES,6133
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,1,NY,COMMERCIAL,CDHP/HDHP,IBM-MDCR,3
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,2,AR,COMMERCIAL,PPO,IBM-CCAE,25
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,2,MS,COMMERCIAL,Others,IBM-CCAE,19122
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,2,IN,COMMERCIAL,PPO,IBM-MDCR,1
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,2,RI,COMMERCIAL,HMO,IBM-CCAE,25
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,FL,COMMERCIAL,CDHP/HDHP,IBM-CCAE,4791
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,M,NEW ENGLAND,COM,POS,OPTUM-SES,13990
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,2,VA,COMMERCIAL,Others,IBM-CCAE,1327
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,MS,COMMERCIAL,Others,IBM-CCAE,1206
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,1,VA,COMMERCIAL,PPO,IBM-CCAE,176384
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,1,NE,COMMERCIAL,Others,IBM-MDCR,1375
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,2,TX,COMMERCIAL,Others,IBM-CCAE,18
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,NJ,COMMERCIAL,Cap POS,IBM-CCAE,12
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,2,AZ,COMMERCIAL,Others,IBM-MDCR,18
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,MN,COMMERCIAL,Unknown,IBM-CCAE,9997
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,1,IA,COMMERCIAL,Non-Cap POS,IBM-CCAE,2184
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,2,CO,COMMERCIAL,PPO,IBM-MDCR,7
PRIOR,IP,4/1/2017,3/31/2018,0,18-34,1,CT,COMMERCIAL,Non-Cap POS,IBM-CCAE,204
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,1,AK,COMMERCIAL,Others,IBM-CCAE,30
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,2,NJ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,28683
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,OR,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1679
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,F,MIDDLE ATLANTIC,MCR,OTH,OPTUM-SES,4289
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,AR,COMMERCIAL,PPO,IBM-MDCR,24
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,1,WA,COMMERCIAL,Non-Cap POS,IBM-CCAE,67
CURRENT,IP,4/1/2018,3/31/2019,1,0-17,1,MA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,51
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,MO,COMMERCIAL,Non-Cap POS,IBM-CCAE,1284
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,FL,COMMERCIAL,Others,IBM-CCAE,11762
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,1,AL,COMMERCIAL,Non-Cap POS,IBM-CCAE,82
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,2,KS,COMMERCIAL,PPO,IBM-MDCR,15
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,2,KS,COMMERCIAL,PPO,IBM-CCAE,210
CURRENT,IP,4/1/2018,3/31/2019,0,45-54,2,WA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,66
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,2,UT,COMMERCIAL,Others,IBM-MDCR,12
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,2,AL,COMMERCIAL,CDHP/HDHP,IBM-CCAE,205
CURRENT,IP,4/1/2018,3/31/2019,0,45-54,1,WY,COMMERCIAL,Non-Cap POS,IBM-CCAE,3
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,M,WEST SOUTH CENTRAL,COM,OTH,OPTUM-SES,30
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,1,CO,COMMERCIAL,CDHP/HDHP,IBM-CCAE,163
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,1,MD,COMMERCIAL,Others,IBM-CCAE,12311
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,M,MOUNTAIN,COM,OTH,OPTUM-SES,12
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,IA,COMMERCIAL,Non-Cap POS,IBM-CCAE,47874
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,2,ME,COMMERCIAL,HMO,IBM-CCAE,8
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,1,TN,COMMERCIAL,Cap POS,IBM-CCAE,12
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,2,WI,COMMERCIAL,PPO,IBM-MDCR,3
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,HI,COMMERCIAL,HMO,IBM-CCAE,282
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,1,OR,COMMERCIAL,PPO,IBM-CCAE,116586
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,MT,COMMERCIAL,Unknown,IBM-MDCR,2
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,GA,COMMERCIAL,PPO,IBM-CCAE,66694
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,MS,COMMERCIAL,Others,IBM-CCAE,612
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,F,UNKNOWN,MCR,PPO,OPTUM-SES,630
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,1,WA,COMMERCIAL,Others,IBM-MDCR,17
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,2,IA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,21
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,2,UN,COMMERCIAL,PPO,IBM-CCAE,2128196
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,1,WY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,10
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,1,AL,COMMERCIAL,PPO,IBM-CCAE,14711
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,UN,COMMERCIAL,HMO,IBM-MDCR,17
PRIOR,IP,4/1/2017,3/31/2018,1,45-54,2,ND,COMMERCIAL,Non-Cap POS,IBM-CCAE,1
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,LA,COMMERCIAL,HMO,IBM-CCAE,10218
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,KS,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1168
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,1,KY,COMMERCIAL,Others,IBM-CCAE,275
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,F,MOUNTAIN,MCR,POS,OPTUM-SES,7
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,OH,COMMERCIAL,Non-Cap POS,IBM-CCAE,21427
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,1,DE,COMMERCIAL,Others,IBM-CCAE,53
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,F,MIDDLE ATLANTIC,COM,POS,OPTUM-SES,43158
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,2,IA,COMMERCIAL,Others,IBM-CCAE,767
PRIOR,IP,4/1/2017,3/31/2018,0,18-34,1,DC,COMMERCIAL,Unknown,IBM-CCAE,1
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,MS,COMMERCIAL,Unknown,IBM-CCAE,338
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,2,IL,COMMERCIAL,CDHP/HDHP,IBM-CCAE,59199
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,1,SC,COMMERCIAL,Others,IBM-CCAE,89
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,AL,COMMERCIAL,HMO,IBM-CCAE,8805
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,2,WV,COMMERCIAL,PPO,IBM-CCAE,8621
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,1,WY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1024
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,F,SOUTH ATLANTIC,COM,HMO,OPTUM-SES,110330
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,1,CT,COMMERCIAL,PPO,IBM-MDCR,12
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,1,MN,COMMERCIAL,Others,IBM-CCAE,8
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,2,SD,COMMERCIAL,CDHP/HDHP,IBM-CCAE,698
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,MD,COMMERCIAL,Others,IBM-CCAE,19026
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,NV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,2316
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,F,NEW ENGLAND,COM,POS,OPTUM-SES,12008
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,2,CO,COMMERCIAL,Cap POS,IBM-CCAE,14
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,1,NY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,244
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,2,NJ,COMMERCIAL,Cap POS,IBM-CCAE,24
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,GA,COMMERCIAL,HMO,IBM-CCAE,12379
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,1,GA,COMMERCIAL,Others,IBM-CCAE,6
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,DC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,211
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,2,NJ,COMMERCIAL,Others,IBM-MDCR,932
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,1,IA,COMMERCIAL,Unknown,IBM-CCAE,6
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,AK,COMMERCIAL,PPO,IBM-CCAE,236
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,UN,COMMERCIAL,Non-Cap POS,IBM-CCAE,281523
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,2,MN,COMMERCIAL,PPO,IBM-CCAE,17834
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,2,RI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,12837
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,2,OH,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1073
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,NY,COMMERCIAL,PPO,IBM-CCAE,43731
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,M,PACIFIC,MCR,OTH,OPTUM-SES,5
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,PA,COMMERCIAL,PPO,IBM-MDCR,21
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,WA,COMMERCIAL,PPO,IBM-CCAE,210941
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,2,IN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,208
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,2,NM,COMMERCIAL,Others,IBM-MDCR,44
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,KS,COMMERCIAL,HMO,IBM-CCAE,1642
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,IA,COMMERCIAL,Others,IBM-CCAE,15
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,1,ID,COMMERCIAL,PPO,IBM-CCAE,45
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,2,NJ,COMMERCIAL,Others,IBM-CCAE,5957
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,2,VA,COMMERCIAL,HMO,IBM-CCAE,268
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,1,PA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,179
CURRENT,IP,4/1/2018,3/31/2019,0,45-54,1,TN,COMMERCIAL,Non-Cap POS,IBM-CCAE,12
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,F,NEW ENGLAND,COM,HMO,OPTUM-SES,2
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,2,CA,COMMERCIAL,PPO,IBM-MDCR,158
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,NH,COMMERCIAL,PPO,IBM-CCAE,7266
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,1,MS,COMMERCIAL,Unknown,IBM-CCAE,1335
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,F,UNKNOWN,MCR,HMO,OPTUM-SES,8346
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,CA,COMMERCIAL,CDHP/HDHP,IBM-MDCR,12
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,1,AR,COMMERCIAL,Non-Cap POS,IBM-CCAE,1264
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,2,ME,COMMERCIAL,Unknown,IBM-CCAE,195
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,DE,COMMERCIAL,Unknown,IBM-MDCR,37
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,AL,COMMERCIAL,PPO,IBM-CCAE,157
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,2,MS,COMMERCIAL,Non-Cap POS,IBM-CCAE,223
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,MD,COMMERCIAL,HMO,IBM-MDCR,17
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,1,ND,COMMERCIAL,Non-Cap POS,IBM-CCAE,213
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,GA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,4055
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,2,MO,COMMERCIAL,PPO,IBM-CCAE,242723
PRIOR,IP,4/1/2017,3/31/2018,0,35-44,1,TN,COMMERCIAL,Non-Cap POS,IBM-CCAE,10
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,MS,COMMERCIAL,Unknown,IBM-CCAE,47
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,1,WY,COMMERCIAL,Others,IBM-CCAE,2
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,NE,COMMERCIAL,Others,IBM-CCAE,98
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,F,NEW ENGLAND,MCR,PPO,OPTUM-SES,53
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,1,SD,COMMERCIAL,PPO,IBM-MDCR,3
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,1,MS,COMMERCIAL,PPO,IBM-CCAE,431
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,M,WEST NORTH CENTRAL,COM,OTH,OPTUM-SES,9841
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,1,NE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,35
PRIOR,IP,4/1/2017,3/31/2018,1,45-54,2,SC,COMMERCIAL,Others,IBM-CCAE,26
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,AL,COMMERCIAL,Unknown,IBM-CCAE,6300
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,IA,COMMERCIAL,Others,IBM-CCAE,8735
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,2,ME,COMMERCIAL,Non-Cap POS,IBM-CCAE,212
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,M,WEST SOUTH CENTRAL,COM,EPO,OPTUM-SES,137
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,2,CT,COMMERCIAL,HMO,IBM-CCAE,1815
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,IN,COMMERCIAL,Non-Cap POS,IBM-CCAE,2576
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,2,WV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,1,MD,COMMERCIAL,HMO,IBM-MDCR,20
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,1,IN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,822
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,2,UN,COMMERCIAL,HMO,IBM-CCAE,230551
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,WA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,7303
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,1,IA,COMMERCIAL,Unknown,IBM-CCAE,8
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,2,WA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,10996
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,1,AZ,COMMERCIAL,CDHP/HDHP,IBM-MDCR,1046
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,2,SC,COMMERCIAL,CDHP/HDHP,IBM-CCAE,41
CURRENT,IP,4/1/2018,3/31/2019,1,35-44,1,FL,COMMERCIAL,Others,IBM-CCAE,2
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,2,FL,COMMERCIAL,Non-Cap POS,IBM-MDCR,107
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,1,TN,COMMERCIAL,Unknown,IBM-CCAE,844
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,CO,COMMERCIAL,Non-Cap POS,IBM-CCAE,361
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,1,NM,COMMERCIAL,CDHP/HDHP,IBM-CCAE,7796
